split,train_seasons,test_season,n_races,winner_acc,podium_prec,baseline_acc,log_loss,brier,best_C,cv_log_loss
train[2023] -> test[2024],2023,2024,24,0.4583333333333333,0.6249999999999999,0.5,0.26378799227046834,0.08928662767852362,0.1,0.17026467279928761
"train[2023, 2024] -> test[2025]",2023+2024,2025,24,0.3333333333333333,0.736111111111111,0.6666666666666666,0.8816127300870394,0.19963143551946236,0.1,0.29512244604756604
"train[2023, 2024, 2025] -> test[2026]",2023+2024+2025,2026,5,0.4,0.5333333333333334,0.8,0.2583653987607067,0.08913424760284959,0.03,0.28637949535190493
